date,url,biweekly_type
8/11/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=1,163
8/25/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=2,163
9/8/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=3,163
9/22/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=4,163
10/7/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=5,163
10/20/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=6,163
11/3/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=7,163
11/17/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=8,163
12/1/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=9,163
12/15/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=10,163
12/22/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=11,163
12/29/2003,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=12,163
1/12/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=13,163
2/9/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=14,163
2/23/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=15,163
3/8/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=16,163
4/7/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=17,163
4/12/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=18,163
4/22/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=19,163
5/6/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=20,163
5/20/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=21,163
6/3/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=22,163
6/17/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=23,163
7/1/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=24,163
7/15/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=25,163
7/29/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=26,163
8/12/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=27,163
9/9/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=28,163
9/23/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=29,163
10/14/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=30,163
10/25/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=31,163
11/5/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=32,163
11/19/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=33,163
12/7/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=34,163
12/17/2004,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=35,163
1/3/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=36,163
1/14/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=37,163
1/28/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=38,163
2/11/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=39,163
2/25/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=40,163
3/14/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=41,163
3/25/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=42,163
4/5/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=43,163
4/19/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=44,163
5/3/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=45,163
5/17/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=46,163
5/31/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=47,163
6/16/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=48,163
6/28/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=49,163
7/12/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=50,163
7/27/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=51,163
8/9/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=52,163
8/24/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=53,163
9/6/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=54,163
9/20/2005,https://planning.lacity.org/InternetCalendar/pdf.aspx?biWiId=55,163
